year,county,damages,sra,fire,area
1990,Alameda,524052,267959,547,526195
1990,Alpine,,139969,,474265
1990,Amador,1088290,282572,1530,387825
1990,Butte,908852,517938,318,1073261
1990,Calaveras,508571,537093,333,662840
1990,Colusa,176500,266251,176,740381
1990,Contra Costa,49330,244253,2305,514075
1990,Del Norte,1002,221024,2,649305
1990,El Dorado,443309,575134,554,1144946
1990,Fresno,282962,787589,233,3846339
1990,Glenn,228151,337795,3316,849131
1990,Humboldt,9018513,1614052,17463,2310357
1990,Imperial,0,5249,0,2868453
1990,Inyo,3601,244119,241,6546550
1990,Kern,4500,2097492,7781,5224306
1990,Kings,0,97080,0,890800
1990,Lake,254600,379065,2185,850837
1990,Lassen,4237485,1004952,5596,3021448
1990,Los Angeles,,619890,1927,2528729
1990,Madera,777931,371913,416,1377637
1990,Marin,4500,204199,759,389498
1990,Mariposa,891232,445916,495,935606
1990,Mendocino,1849882,1906244,506,2247877
1990,Merced,57600,411138,290,1265629
1990,Modoc,10700,625037,74,2689708
1990,Mono,201,237614,2,2003702
1990,Monterey,2254498,1247721,1799,2120615
1990,Napa,490700,366225,151,505856
1990,Nevada,214700,418504,103,623850
1990,Orange,905950,167705,11,511453
1990,Placer,680760,416012,841,959944
1990,Plumas,25300,422973,0,1672706
1990,Riverside,2144963,913471,3170,4672921
1990,Sacramento,2900,125671,199,636087
1990,San Benito,52001,683474,485,889407
1990,San Bernardino,3877501,498538,6414,12867915
1990,San Diego,2694621,1196997,11315,2725348
1990,San Francisco,,0,,67591
1990,San Joaquin,40118600,153627,61,912595
1990,San Luis Obispo,1232362,1536408,949,2126085
1990,San Mateo,58300,187027,159,353163
1990,Santa Barbara,14750,748279,266,1632458
1990,Santa Clara,170347,597616,215,835211
1990,Santa Cruz,1584500,239191,228,285479
1990,Shasta,807136,1291188,1575,2465229
1990,Sierra,,138252,,615316
1990,Siskiyou,641195,1314526,540,4062258
1990,Solano,67785,108225,463,582211
1990,Sonoma,,790563,920,1026970
1990,Stanislaus,464240,427427,86,970170
1990,Sutter,,0,,389309
1990,Tehama,14443753,1269928,137479,1892923
1990,Trinity,540350,507962,5838,2052764
1990,Tulare,350270,699395,1141,3099331
1990,Tuolumne,843518,360226,532,1457655
1990,Ventura,,372209,14212,1172730
1990,Yolo,37850,204988,214,653449
1990,Yuba,165750,211526,686,412111
2000,Alameda,240852,242810,285,526195
2000,Alpine,0,45074,0,474265
2000,Amador,384671,294066,312,387825
2000,Butte,3478073,534026,2657,1073261
2000,Calaveras,1341067,527484,1412,662840
2000,Colusa,30000,269773,3,740381
2000,Contra Costa,1550,199129,206,514075
2000,Del Norte,148500,190641,5,649305
2000,El Dorado,164530,565040,1181,1144946
2000,Fresno,1064735,795551,1352,3846339
2000,Glenn,0,325199,20,849131
2000,Humboldt,1282570,1603804,131,2310357
2000,Imperial,0,2649,0,2868453
2000,Inyo,5400,224355,33,6546550
2000,Kern,,1768763,438,5224306
2000,Kings,0,96838,1,890800
2000,Lake,849500,389559,8135,850837
2000,Lassen,2876650,1064219,1204,3021448
2000,Los Angeles,,552540,1173,2528729
2000,Madera,943650,376981,85,1377637
2000,Marin,,199051,112,389498
2000,Mariposa,540554,448751,10228,935606
2000,Mendocino,536801,1874298,173,2247877
2000,Merced,84500,426291,1458,1265629
2000,Modoc,55000,652751,4,2689708
2000,Mono,0,209433,0,2003702
